index	date	2025 Federal Register document count
1	2025-01-01	0
2	2025-01-02	59
3	2025-01-03	91
4	2025-01-06	104
5	2025-01-07	105
6	2025-01-08	106
7	2025-01-09	0
8	2025-01-10	127
9	2025-01-13	109
10	2025-01-14	110
11	2025-01-15	168
12	2025-01-16	157
13	2025-01-17	222
14	2025-01-20	0
15	2025-01-21	118
16	2025-01-22	64
17	2025-01-23	73
18	2025-01-24	59
19	2025-01-27	37
20	2025-01-28	76
21	2025-01-29	65
22	2025-01-30	66
23	2025-01-31	78
24	2025-02-03	60
25	2025-02-04	54
26	2025-02-05	36
27	2025-02-06	37
28	2025-02-07	47
29	2025-02-10	46
30	2025-02-11	49
31	2025-02-12	54
32	2025-02-13	44
33	2025-02-14	56
34	2025-02-17	0
35	2025-02-18	62
36	2025-02-19	53
37	2025-02-20	55
38	2025-02-21	40
39	2025-02-24	60
40	2025-02-25	40
41	2025-02-26	53
42	2025-02-27	46
43	2025-02-28	135
44	2025-03-03	53
45	2025-03-04	72
46	2025-03-05	75
47	2025-03-06	61
48	2025-03-07	81
49	2025-03-10	52
50	2025-03-11	82
51	2025-03-12	46
52	2025-03-13	104
53	2025-03-14	70
54	2025-03-17	108
55	2025-03-18	104
56	2025-03-19	136
57	2025-03-20	111
58	2025-03-21	78
59	2025-03-24	58
60	2025-03-25	62
61	2025-03-26	86
62	2025-03-27	76
63	2025-03-28	109
64	2025-03-31	90
65	2025-04-01	52
66	2025-04-02	95
67	2025-04-03	94
68	2025-04-04	87
69	2025-04-07	61
70	2025-04-08	59
71	2025-04-09	69
72	2025-04-10	49
73	2025-04-11	79
74	2025-04-14	72
75	2025-04-15	67
76	2025-04-16	77
77	2025-04-17	89
78	2025-04-18	120
79	2025-04-21	78
80	2025-04-22	61
81	2025-04-23	117
82	2025-04-24	52
83	2025-04-25	89
84	2025-04-28	91
85	2025-04-29	56
86	2025-04-30	94
87	2025-05-01	88
88	2025-05-02	79
89	2025-05-05	98
90	2025-05-06	90
91	2025-05-07	79
92	2025-05-08	91
93	2025-05-09	117
94	2025-05-12	90
95	2025-05-13	86
96	2025-05-14	101
97	2025-05-15	82
98	2025-05-16	160
99	2025-05-19	95
100	2025-05-20	106
101	2025-05-21	92
102	2025-05-22	75
103	2025-05-23	94
104	2025-05-26	0
105	2025-05-27	116
106	2025-05-28	75
107	2025-05-29	113
108	2025-05-30	122
109	2025-06-02	113
110	2025-06-03	103
111	2025-06-04	86
112	2025-06-05	70
113	2025-06-06	92
114	2025-06-09	62
115	2025-06-10	79
116	2025-06-11	103
117	2025-06-12	80
118	2025-06-13	107
119	2025-06-16	160
120	2025-06-17	111
121	2025-06-18	93
122	2025-06-19	0
123	2025-06-20	112
124	2025-06-23	102
125	2025-06-24	78
126	2025-06-25	78
127	2025-06-26	90
128	2025-06-27	125
129	2025-06-30	76
130	2025-07-01	274
131	2025-07-02	87
132	2025-07-03	120
133	2025-07-04	0
134	2025-07-07	94
135	2025-07-08	79
136	2025-07-09	67
137	2025-07-10	116
138	2025-07-11	121
139	2025-07-14	110
140	2025-07-15	61
141	2025-07-16	92
142	2025-07-17	96
143	2025-07-18	99
