chapter,character,count
1,Alice,28
1,Bill,0
1,Caterpillar,0
1,Cheshire,0
1,Dinah,5
1,Dodo,0
1,Dormouse,0
1,Footman,0
1,Gryphon,0
1,Hare,0
1,Hatter,0
1,King,0
1,Knave,0
1,Mary Ann,0
1,Mouse,0
1,Pigeon,0
1,Queen,0
1,Rabbit,6
1,Turtle,0
2,Alice,26
2,Bill,0
2,Caterpillar,0
2,Cheshire,0
2,Dinah,1
2,Dodo,1
2,Dormouse,0
2,Footman,0
2,Gryphon,0
2,Hare,0
2,Hatter,0
2,King,0
2,Knave,0
2,Mary Ann,0
2,Mouse,11
2,Pigeon,0
2,Queen,0
2,Rabbit,4
2,Turtle,0
3,Alice,23
3,Bill,0
3,Caterpillar,0
3,Cheshire,0
3,Dinah,5
3,Dodo,12
3,Dormouse,0
3,Footman,0
3,Gryphon,0
3,Hare,0
3,Hatter,0
3,King,0
3,Knave,0
3,Mary Ann,0
3,Mouse,18
3,Pigeon,0
3,Queen,0
3,Rabbit,0
3,Turtle,0
4,Alice,31
4,Bill,14
4,Caterpillar,0
4,Cheshire,0
4,Dinah,3
4,Dodo,0
4,Dormouse,0
4,Footman,0
4,Gryphon,0
4,Hare,0
4,Hatter,0
4,King,0
4,Knave,0
4,Mary Ann,4
4,Mouse,0
4,Pigeon,0
4,Queen,0
4,Rabbit,12
4,Turtle,0
5,Alice,35
5,Bill,0
5,Caterpillar,26
5,Cheshire,0
5,Dinah,0
5,Dodo,0
5,Dormouse,0
5,Footman,0
5,Gryphon,0
5,Hare,0
5,Hatter,0
5,King,0
5,Knave,0
5,Mary Ann,0
5,Mouse,0
5,Pigeon,11
5,Queen,0
5,Rabbit,0
5,Turtle,0
6,Alice,43
6,Bill,0
6,Caterpillar,0
6,Cheshire,4
6,Dinah,0
6,Dodo,0
6,Dormouse,0
6,Footman,11
6,Gryphon,0
6,Hare,4
6,Hatter,2
6,King,0
6,Knave,0
6,Mary Ann,0
6,Mouse,0
6,Pigeon,0
6,Queen,4
6,Rabbit,0
6,Turtle,0
7,Alice,51
7,Bill,0
7,Caterpillar,0
7,Cheshire,0
7,Dinah,0
7,Dodo,0
7,Dormouse,27
7,Footman,0
7,Gryphon,0
7,Hare,21
7,Hatter,33
7,King,0
7,Knave,0
7,Mary Ann,0
7,Mouse,0
7,Pigeon,0
7,Queen,2
7,Rabbit,0
7,Turtle,0
8,Alice,39
8,Bill,0
8,Caterpillar,0
8,Cheshire,3
8,Dinah,0
8,Dodo,0
8,Dormouse,0
8,Footman,0
8,Gryphon,0
8,Hare,0
8,Hatter,0
8,King,12
8,Knave,4
8,Mary Ann,0
8,Mouse,0
8,Pigeon,0
8,Queen,36
8,Rabbit,6
8,Turtle,0
9,Alice,52
9,Bill,0
9,Caterpillar,0
9,Cheshire,0
9,Dinah,0
9,Dodo,0
9,Dormouse,0
9,Footman,0
9,Gryphon,20
9,Hare,0
9,Hatter,0
9,King,2
9,Knave,0
9,Mary Ann,0
9,Mouse,0
9,Pigeon,0
9,Queen,14
9,Rabbit,0
9,Turtle,28
10,Alice,30
10,Bill,0
10,Caterpillar,1
10,Cheshire,0
10,Dinah,0
10,Dodo,0
10,Dormouse,0
10,Footman,0
10,Gryphon,31
10,Hare,0
10,Hatter,0
10,King,0
10,Knave,0
10,Mary Ann,0
10,Mouse,0
10,Pigeon,0
10,Queen,0
10,Rabbit,1
10,Turtle,29
11,Alice,16
11,Bill,1
11,Caterpillar,0
11,Cheshire,0
11,Dinah,0
11,Dodo,0
11,Dormouse,13
11,Footman,0
11,Gryphon,2
11,Hare,5
11,Hatter,20
11,King,26
11,Knave,2
11,Mary Ann,0
11,Mouse,0
11,Pigeon,0
11,Queen,9
11,Rabbit,8
11,Turtle,0
12,Alice,23
12,Bill,1
12,Caterpillar,0
12,Cheshire,0
12,Dinah,0
12,Dodo,0
12,Dormouse,0
12,Footman,0
12,Gryphon,2
12,Hare,1
12,Hatter,0
12,King,22
12,Knave,3
12,Mary Ann,0
12,Mouse,1
12,Pigeon,0
12,Queen,10
12,Rabbit,8
12,Turtle,2
